"Module","Scenario","Region","Item","Variable","Year","Unit","Value"
"MARKET","res_2_1720cap_after_2023_ref","BL000000","RYEM","INHA","2020","[kg/p/d]",0.00119018333935251
"MARKET","res_2_1720cap_after_2023_ref","BL000000","BARL","INHA","2020","[kg/p/d]",0.037857864479997
"MARKET","res_2_1720cap_after_2023_ref","BL000000","OATS","INHA","2020","[kg/p/d]",7.84042290092428e-05
"MARKET","res_2_1720cap_after_2023_ref","BL000000","MAIZ","INHA","2020","[kg/p/d]",0.0004679483201448
"MARKET","res_2_1720cap_after_2023_ref","BL000000","OCER","INHA","2020","[kg/p/d]",0.0165925091039454
"MARKET","res_2_1720cap_after_2023_ref","BL000000","SOYA","INHA","2020","[kg/p/d]",0.000579318107446775
"MARKET","res_2_1720cap_after_2023_ref","BL000000","PULS","INHA","2020","[kg/p/d]",0.00606279316004172
"MARKET","res_2_1720cap_after_2023_ref","BL000000","POTA","INHA","2020","[kg/p/d]",0.0858434326607299
"MARKET","res_2_1720cap_after_2023_ref","BL000000","TOMA","INHA","2020","[kg/p/d]",0.0199633508760526
"MARKET","res_2_1720cap_after_2023_ref","BL000000","OVEG","INHA","2020","[kg/p/d]",0.079003229053566
"MARKET","res_2_1720cap_after_2023_ref","BL000000","APPL","INHA","2020","[kg/p/d]",0.00848857365731291
"MARKET","res_2_1720cap_after_2023_ref","BL000000","OFRU","INHA","2020","[kg/p/d]",0.00276289537320547
"MARKET","res_2_1720cap_after_2023_ref","BL000000","CITR","INHA","2020","[kg/p/d]",0.0935963239728655
"MARKET","res_2_1720cap_after_2023_ref","BL000000","TAGR","INHA","2020","[kg/p/d]",0.00443428778356629
"MARKET","res_2_1720cap_after_2023_ref","BL000000","TABO","INHA","2020","[kg/p/d]",0.000443602534752778
"MARKET","res_2_1720cap_after_2023_ref","BL000000","TWIN","INHA","2020","[kg/p/d]",0.0636777228799686
"MARKET","res_2_1720cap_after_2023_ref","BL000000","WHEA","INHA","2020","[kg/p/d]",0.120052473111548
"MARKET","res_2_1720cap_after_2023_ref","BL000000","BEEF","INHA","2020","[kg/p/d]",0.0189257140766982
"MARKET","res_2_1720cap_after_2023_ref","BL000000","PORK","INHA","2020","[kg/p/d]",0.0673703512957192
"MARKET","res_2_1720cap_after_2023_ref","BL000000","SGMT","INHA","2020","[kg/p/d]",0.00250474701415732
"MARKET","res_2_1720cap_after_2023_ref","BL000000","EGGS","INHA","2020","[kg/p/d]",0.0184267492809234
"MARKET","res_2_1720cap_after_2023_ref","BL000000","POUM","INHA","2020","[kg/p/d]",0.0180579891724634
"MARKET","res_2_1720cap_after_2023_ref","BL000000","WHEP","INHA","2020","[kg/p/d]",0.000925827839366711
"MARKET","res_2_1720cap_after_2023_ref","BL000000","WMIO","INHA","2020","[kg/p/d]",0.00451683714624998
"MARKET","res_2_1720cap_after_2023_ref","BL000000","BUTT","INHA","2020","[kg/p/d]",0.0148397303170414
"MARKET","res_2_1720cap_after_2023_ref","BL000000","SMIP","INHA","2020","[kg/p/d]",0.00731997288350432
"MARKET","res_2_1720cap_after_2023_ref","BL000000","CHES","INHA","2020","[kg/p/d]",0.035948169279464
"MARKET","res_2_1720cap_after_2023_ref","BL000000","FRMI","INHA","2020","[kg/p/d]",0.243241117698231
"MARKET","res_2_1720cap_after_2023_ref","BL000000","CREM","INHA","2020","[kg/p/d]",0.0389888222859567
"MARKET","res_2_1720cap_after_2023_ref","BL000000","COCM","INHA","2020","[kg/p/d]",0.0135934182078711
"MARKET","res_2_1720cap_after_2023_ref","BL000000","RICE","INHA","2020","[kg/p/d]",0.00235831448430689
"MARKET","res_2_1720cap_after_2023_ref","BL000000","SUGA","INHA","2020","[kg/p/d]",0.0886408273815343
"MARKET","res_2_1720cap_after_2023_ref","BL000000","RAPO","INHA","2020","[kg/p/d]",0.00260600177781823
"MARKET","res_2_1720cap_after_2023_ref","BL000000","SUNO","INHA","2020","[kg/p/d]",0.00417917888149559
"MARKET","res_2_1720cap_after_2023_ref","BL000000","SOYO","INHA","2020","[kg/p/d]",0.011576552874539
"MARKET","res_2_1720cap_after_2023_ref","BL000000","OLIO","INHA","2020","[kg/p/d]",0.00325006859179667
"MARKET","res_2_1720cap_after_2023_ref","BL000000","PLMO","INHA","2020","[kg/p/d]",0.00455412441071121
"MARKET","res_2_1720cap_after_2023_ref","BL000000","OTHO","INHA","2020","[kg/p/d]",0.0094753075383106
"MARKET","res_2_1720cap_after_2023_ref","BL000000","MILK","INHA","2020","[kg/p/d]",0.00891036089818919
"MARKET","res_2_1720cap_after_2023_ref","BL000000","COFF","INHA","2020","[kg/p/d]",0.0153342299629652
"MARKET","res_2_1720cap_after_2023_ref","BL000000","TEAS","INHA","2020","[kg/p/d]",0.00141741736670526
"MARKET","res_2_1720cap_after_2023_ref","BL000000","FFIS","INHA","2020","[kg/p/d]",0.015282469787169
"MARKET","res_2_1720cap_after_2023_ref","BL000000","SFIS","INHA","2020","[kg/p/d]",0.027224878742428
"MARKET","res_2_1720cap_after_2023_ref","BL000000","OAQU","INHA","2020","[kg/p/d]",0.00962382442758118
"MARKET","res_2_1720cap_after_2023_ref","SE000000","RYEM","INHA","2020","[kg/p/d]",0.00880769194045194
"MARKET","res_2_1720cap_after_2023_ref","SE000000","BARL","INHA","2020","[kg/p/d]",0.0527664150489148
"MARKET","res_2_1720cap_after_2023_ref","SE000000","OATS","INHA","2020","[kg/p/d]",0.00393476024753678
"MARKET","res_2_1720cap_after_2023_ref","SE000000","MAIZ","INHA","2020","[kg/p/d]",0.00222299329042103
"MARKET","res_2_1720cap_after_2023_ref","SE000000","OCER","INHA","2020","[kg/p/d]",0.000221828015642312
"MARKET","res_2_1720cap_after_2023_ref","SE000000","SOYA","INHA","2020","[kg/p/d]",0.000837633103966728
"MARKET","res_2_1720cap_after_2023_ref","SE000000","PULS","INHA","2020","[kg/p/d]",0.00189312424150936
"MARKET","res_2_1720cap_after_2023_ref","SE000000","POTA","INHA","2020","[kg/p/d]",0.0977034744676757
"MARKET","res_2_1720cap_after_2023_ref","SE000000","TOMA","INHA","2020","[kg/p/d]",0.0274471849320136
"MARKET","res_2_1720cap_after_2023_ref","SE000000","OVEG","INHA","2020","[kg/p/d]",0.0731431815075346
"MARKET","res_2_1720cap_after_2023_ref","SE000000","APPL","INHA","2020","[kg/p/d]",0.0151589969641803
"MARKET","res_2_1720cap_after_2023_ref","SE000000","OFRU","INHA","2020","[kg/p/d]",0.00109381918986533
"MARKET","res_2_1720cap_after_2023_ref","SE000000","CITR","INHA","2020","[kg/p/d]",0.102546846343282
"MARKET","res_2_1720cap_after_2023_ref","SE000000","TAGR","INHA","2020","[kg/p/d]",0.00561697876238085
"MARKET","res_2_1720cap_after_2023_ref","SE000000","TABO","INHA","2020","[kg/p/d]",0.000467143091248779
"MARKET","res_2_1720cap_after_2023_ref","SE000000","TWIN","INHA","2020","[kg/p/d]",0.0402481841793949
"MARKET","res_2_1720cap_after_2023_ref","SE000000","WHEA","INHA","2020","[kg/p/d]",0.0830354827622998
"MARKET","res_2_1720cap_after_2023_ref","SE000000","BEEF","INHA","2020","[kg/p/d]",0.0435890195693838
"MARKET","res_2_1720cap_after_2023_ref","SE000000","PORK","INHA","2020","[kg/p/d]",0.0616917715507743
"MARKET","res_2_1720cap_after_2023_ref","SE000000","SGMT","INHA","2020","[kg/p/d]",0.0030919237263367
"MARKET","res_2_1720cap_after_2023_ref","SE000000","EGGS","INHA","2020","[kg/p/d]",0.0339274891979599
"MARKET","res_2_1720cap_after_2023_ref","SE000000","POUM","INHA","2020","[kg/p/d]",0.0346064584041492
"MARKET","res_2_1720cap_after_2023_ref","SE000000","WHEP","INHA","2020","[kg/p/d]",7.67803880400288e-05
"MARKET","res_2_1720cap_after_2023_ref","SE000000","CASE","INHA","2020","[kg/p/d]",9.05278495949606e-05
"MARKET","res_2_1720cap_after_2023_ref","SE000000","WMIO","INHA","2020","[kg/p/d]",0.000903596520469141
"MARKET","res_2_1720cap_after_2023_ref","SE000000","BUTT","INHA","2020","[kg/p/d]",0.0164607687256543
"MARKET","res_2_1720cap_after_2023_ref","SE000000","SMIP","INHA","2020","[kg/p/d]",0.0029945823315406
"MARKET","res_2_1720cap_after_2023_ref","SE000000","CHES","INHA","2020","[kg/p/d]",0.0466251396303798
"MARKET","res_2_1720cap_after_2023_ref","SE000000","FRMI","INHA","2020","[kg/p/d]",0.225046779270667
"MARKET","res_2_1720cap_after_2023_ref","SE000000","CREM","INHA","2020","[kg/p/d]",0.0294832117079959
"MARKET","res_2_1720cap_after_2023_ref","SE000000","COCM","INHA","2020","[kg/p/d]",0.00323923158790226
"MARKET","res_2_1720cap_after_2023_ref","SE000000","RICE","INHA","2020","[kg/p/d]",0.00718409657173494
"MARKET","res_2_1720cap_after_2023_ref","SE000000","SUGA","INHA","2020","[kg/p/d]",0.0861731094093023
"MARKET","res_2_1720cap_after_2023_ref","SE000000","RAPO","INHA","2020","[kg/p/d]",0.00973299669122073
"MARKET","res_2_1720cap_after_2023_ref","SE000000","SUNO","INHA","2020","[kg/p/d]",0.00822645037968602
"MARKET","res_2_1720cap_after_2023_ref","SE000000","SOYO","INHA","2020","[kg/p/d]",0.00224278983949975
"MARKET","res_2_1720cap_after_2023_ref","SE000000","OLIO","INHA","2020","[kg/p/d]",0.00246278747058449
"MARKET","res_2_1720cap_after_2023_ref","SE000000","PLMO","INHA","2020","[kg/p/d]",0.0174616196467339
"MARKET","res_2_1720cap_after_2023_ref","SE000000","OTHO","INHA","2020","[kg/p/d]",0.00428345776706511
